book;chapter,verse,text
philemon;1;1;παυλος δεσμιος χριστου ιησου και τιμοθεος ο αδελφος φιλημονι τω αγαπητω και συνεργω ημων
philemon;1;2;και απφια τη αγαπητη και αρχιππω τω συστρατιωτη ημων και τη κατ οικον σου εκκλησια
philemon;1;3;χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου
philemon;1;4;ευχαριστω τω θεω μου παντοτε μνειαν σου ποιουμενος επι των προσευχων μου
philemon;1;5;ακουων σου την αγαπην και την πιστιν ην εχεις προς τον κυριον ιησουν και εις παντας τους αγιους
philemon;1;6;οπως η κοινωνια της πιστεως σου ενεργης γενηται εν επιγνωσει παντος αγαθου του εν υμιν εις χριστον ιησουν
philemon;1;7;γαρ εχομεν πολλην και παρακλησιν επι τη αγαπη σου οτι τα σπλαγχνα των αγιων αναπεπαυται δια σου αδελφε
philemon;1;8;διο πολλην εν χριστω παρρησιαν εχων επιτασσειν σοι το ανηκον
philemon;1;9;δια την αγαπην μαλλον παρακαλω τοιουτος ων ως παυλος πρεσβυτης νυνι δε και δεσμιος ιησου χριστου
philemon;1;10;παρακαλω σε περι του εμου τεκνου ον εγεννησα εν τοις δεσμοις μου ονησιμον
philemon;1;11;τον ποτε σοι αχρηστον νυνι δε σοι και εμοι ευχρηστον
philemon;1;12;ον ανεπεμψα συ δε αυτον τουτ εστιν τα εμα σπλαγχνα προσλαβου
philemon;1;13;ον εγω εβουλομην προς εμαυτον κατεχειν ινα υπερ σου διακονη μοι εν τοις δεσμοις του ευαγγελιου
philemon;1;14;χωρις δε της σης γνωμης ουδεν ηθελησα ποιησαι ινα μη ως κατα αναγκην το αγαθον σου η αλλα κατα εκουσιον
philemon;1;15;ταχα γαρ δια τουτο εχωρισθη προς ωραν ινα αιωνιον αυτον απεχης
philemon;1;16;ουκετι ως δουλον αλλ υπερ δουλον αδελφον αγαπητον μαλιστα εμοι ποσω δε μαλλον σοι και εν σαρκι και εν κυριω
philemon;1;17;ει ουν εμε εχεις κοινωνον προσλαβου αυτον ως εμε
philemon;1;18;ει δε τι ηδικησεν σε η οφειλει τουτο εμοι ελλογει
philemon;1;19;εγω παυλος εγραψα τη εμη χειρι εγω αποτισω ινα μη λεγω σοι οτι και σεαυτον μοι προσοφειλεις
philemon;1;20;ναι αδελφε εγω σου οναιμην εν κυριω αναπαυσον μου τα σπλαγχνα εν κυριω
philemon;1;21;πεποιθως τη υπακοη σου εγραψα σοι ειδως οτι και υπερ ο λεγω ποιησεις
philemon;1;22;αμα δε και ετοιμαζε μοι ξενιαν ελπιζω γαρ οτι δια των προσευχων υμων χαρισθησομαι υμιν
philemon;1;23;ασπαζονται σε επαφρας ο συναιχμαλωτος μου εν χριστω ιησου
philemon;1;24;μαρκος αρισταρχος δημας λουκας οι συνεργοι μου
philemon;1;25;η χαρις του κυριου ημων ιησου χριστου μετα του πνευματος υμων αμην [προς φιλημονα εγραφη απο ρωμης δια ονησιμου οικετου]
